OBJECTID,ID,NAME,STATE,STATUS,COUNTRY,LATITUDE,LONGITUDE,WELLIDNO,API,PERMITNO,OPERATOR,PRODTYPE,FIELD,COMPDATE,ID_LINK,GlobalID
1,SW48000001,"MCDOWELL, W. L.",TX,ACTIVE WELL,USA,32.94533425,-95.54109419,30066,4249930066D1,740269,VALENCE OPERATING COMPANY,UNKNOWN,YANTIS (HILL ZONE),2012/09/18 00:00:00+00,W480490610,{328CC598-2B8B-47E4-A8F3-F6D92DEF77E2}
2,SW48000002,NEUHOFF (BUDA-WOODBINE) UNIT,TX,ACTIVE WELL,USA,32.71941404,-95.36287557,30742,4249930742D1,710207,"BLACKWELL EXP & DEVELOPMENT, LLC",UNKNOWN,NEUHOFF (BUDA-WOODBINE),2011/06/15 00:00:00+00,W480490681,{D69C5754-D2C9-4738-A04F-31F2682E9BD1}
3,SW48000003,TURBEVILLE UNIT,TX,ACTIVE WELL,USA,32.68519966,-95.3682942,31127,4249931127D1,684047,"BLACKWELL EXP & DEVELOPMENT, LLC",UNKNOWN,NEUHOFF (WOODBINE),2009/12/15 00:00:00+00,W480490643,{61010D21-1290-44FD-A0E3-24D130166C88}
4,SW48000004,TURBEVILLE UNIT,TX,ACTIVE WELL,USA,32.68495487,-95.36790369,31127,4249931127D2,684047,"BLACKWELL EXP & DEVELOPMENT, LLC",UNKNOWN,NEUHOFF (WOODBINE),2009/12/15 00:00:00+00,W480490643,{F902F569-9428-48EB-9BE9-02A6CFF2FBD9}
5,SW48000005,"WILLIAMS, THURMAN",TX,ACTIVE WELL,USA,32.69861601,-95.38697713,31880,4249931880D2,815545,ENERGY PRODUCTION CORPORATION,UNKNOWN,NOT AVAILABLE,,W480490647,{6A6F727A-3C5A-4E8E-BF5B-D1D5B78C3890}
6,SW48000006,SCHNEIDER (BUDA) UNIT,TX,ACTIVE WELL,USA,32.68511282,-95.38441773,31982,4249931982D1,530489,"BLACKWELL EXP & DEVELOPMENT, LLC",UNKNOWN,SCHNEIDER (BUDA),2003/10/09 00:00:00+00,W480490654,{AD0D7C11-8CBA-42AB-9785-859E8B3550E3}
7,SW48000007,WADE,TX,ACTIVE WELL,USA,32.68268656,-95.38331133,31993,4249931993D2,757947,ENERGY PRODUCTION CORPORATION,UNKNOWN,NOT AVAILABLE,,W480490653,{ECA2BB11-EA69-4D12-8233-DB22D44FD40D}
8,SW48000008,SASI RANCH UNIT,TX,ACTIVE WELL,USA,32.67967357,-95.37934102,32101,4249932101DW,699852,"BLACKWELL EXP & DEVELOPMENT, LLC",UNKNOWN,NEUHOFF (WOODBINE),2011/05/14 00:00:00+00,W480490655,{53A4DD81-029C-4CB2-AE12-FBFF896BE102}
9,SW48000009,SASI RANCH UNIT,TX,ACTIVE WELL,USA,32.67744533,-95.3831542,31785,4249931785D2,687426,"BLACKWELL EXP & DEVELOPMENT, LLC",UNKNOWN,NEUHOFF (WOODBINE),2010/01/27 00:00:00+00,W480490657,{37B14529-C5D2-4118-B267-1728BB3A395A}
10,SW48000010,HFU P,TX,ACTIVE WELL,USA,32.59633424,-95.21177952,31830,4249931830D1,490235,XTO ENERGY INC.,UNKNOWN,HAWKINS (CHARGED EOCENE SDS.),2001/02/07 00:00:00+00,W480490743,{DC7D22EF-097C-4037-B31C-64F85CF4D5EB}
11,SW48000011,HAWKINS FIELD UNIT,TX,ACTIVE WELL,USA,32.59468903,-95.18040308,31137,4249931137DW,182765,XTO ENERGY INC.,UNKNOWN,HAWKINS,2015/04/02 00:00:00+00,W480490724,{8159A253-683F-457C-B3F6-269FDE64F4C9}
12,SW48000012,BUDDY,TX,ACTIVE WELL,USA,32.71301515,-95.36651778,31981,4249931981D2,789027,ENERGY PRODUCTION CORPORATION,UNKNOWN,NOT AVAILABLE,,W480490683,{A344D3CE-16E6-4117-B43F-50489D7189F6}
13,SW48000013,FERGUSON,TX,ACTIVE WELL,USA,33.34430748,-97.40222004,35442,4249735442D1,668143,VANTAGE FORT WORTH ENERGY LLC,UNKNOWN,NOT AVAILABLE,,W480490280,{61CBFC3A-3A24-4972-980D-A0B39807572E}
14,SW48000014,FOX,TX,ACTIVE WELL,USA,33.22801206,-97.40873075,35542,4249735542H1,680384,BURLINGTON RESOURCES O & G CO LP,UNKNOWN,"BOONSVILLE (BEND CONGL., GAS)",2009/06/08 00:00:00+00,W480490365,{F164F401-EA7E-4232-A789-918DB44AC9D5}
15,SW48000015,FOX,TX,ACTIVE WELL,USA,33.22625823,-97.40421278,35542,4249735542DW,680384,BURLINGTON RESOURCES O & G CO LP,UNKNOWN,"BOONSVILLE (BEND CONGL., GAS)",2009/06/08 00:00:00+00,W480490365,{0CD3223F-6458-4B8D-AB7B-8BB65B06BC53}
16,SW48000016,DALE,TX,ACTIVE WELL,USA,33.01678239,-97.9001411,36417,4249736417D1,651668,"DALE, DOYLE C.",UNKNOWN,"NEWARK, EAST (BARNETT SHALE)",2008/03/20 00:00:00+00,W480490488,{739A967B-7DE8-408E-B298-4C942A1DBA2E}
17,SW48000017,"TIMM, TULLIE",TX,ACTIVE WELL,USA,33.09260125,-97.52717227,35512,4249735512DW,653331,"DEVON ENERGY PRODUCTION CO, L.P.",UNKNOWN,"BOYD, N. (STRAWN 4200)",2008/06/06 00:00:00+00,W480490458,{4D37DCF2-6321-4459-85CA-8C9052ADCF8E}
18,SW48000018,KEYSTONE CATTLE CO.,TX,ACTIVE WELL,USA,31.88633469,-102.93878986,33158,4249533158D1,630958,WHITING OIL AND GAS CORPORATION,UNKNOWN,"KEYSTONE, SE. (WOLFCAMP)",2007/05/02 00:00:00+00,W480490535,{1473917C-F334-4F05-92C8-2AEADCD51942}
19,SW48000019,"HALLEY, S. M. -B-",TX,ACTIVE WELL,USA,31.77911457,-103.05166744,05394,4249505394D1,-999,SUN EXPL. & PROD. CO.-MIDLAND,UNKNOWN,EMPEROR (DEVONIAN),,W480490552,{0B0E49B6-10E5-45EB-8186-9063D7CA1B44}
20,SW48000020,BROWN-ALTMAN -B-,TX,ACTIVE WELL,USA,31.7756642,-103.06670816,00196,4249500196D1,-999,DINERO OPERATING COMPANY,UNKNOWN,EMPEROR (ELLENBURGER),1957/04/08 00:00:00+00,W480490553,{354CCF63-620C-46D6-8274-37158226488D}
21,SW48000021,MORTON 23,TX,ACTIVE WELL,USA,31.71854887,-103.07433597,32813,4249532813D1,664956,EXCHANGE AVENUE PRODUCTION CO.,UNKNOWN,"A. C. MORTON (CANYON REEF, LO.)",2008/09/24 00:00:00+00,W480490570,{806A9943-CE5B-4493-85E9-1D53B3FDB1DD}
22,SW48000022,STONE-MAGNOLIA,TX,ACTIVE WELL,USA,26.36048338,-97.44817644,31109,4248931109D1,557463,DEWBRE PETROLEUM CORPORATION,UNKNOWN,PASO REAL (8600),2005/05/04 00:00:00+00,W480488873,{F7E74330-BC8D-48D6-8907-135760BDB671}
23,SW48000023,"KLEBERG, R J JR TR STILLMAN",TX,ACTIVE WELL,USA,26.58021591,-97.89895219,30932,4248930932DW,780158,"EOG RESOURCES, INC.",UNKNOWN,TORDILLA (DEEP CONS.),2014/05/04 00:00:00+00,W480488842,{492E239E-5B8A-4A34-80FA-F3DF3AAFD8E4}
24,SW48000024,"THOMAS, M. G. ET AL",TX,ACTIVE WELL,USA,26.57623892,-97.88103756,30998,4248930998D2,771135,XTO ENERGY INC.,UNKNOWN,NOT AVAILABLE,,W480488845,{801C3817-69CC-4B67-A23E-17953914CCE1}
25,SW48000025,"COX, B. F.",TX,ACTIVE WELL,USA,26.45733,-97.83506537,31209,4248931209D2,686563,WAGNER OIL COMPANY,UNKNOWN,LA SAL VIEJA (8 AND 9 FRIO),2010/01/09 00:00:00+00,W480488864,{0EAB51D6-134E-4FB3-AAC4-C31D67D47AB6}
26,SW48000026,W.T. WAGGONER ESTATE,TX,ACTIVE WELL,USA,33.94456875,-99.21038003,32948,4248732948DW,769571,"W.T. WAGGONER ESTATE, INC.",UNKNOWN,BETH JANIS (ELLENBURGER),2014/01/25 00:00:00+00,W480491103,{E1B38EDE-E4BF-4EA2-AA34-FAC888396A6A}
27,SW48000027,BRITT RANCH UNIT,TX,ACTIVE WELL,USA,35.53004136,-100.06421812,32233,4248332233D1,629242,LE NORMAN OPERATING LLC,UNKNOWN,STILES RANCH (GRANITE WASH CONS),2007/06/04 00:00:00+00,W480491134,{43C4D990-F3AF-4B95-9AF9-41D50817DC04}
28,SW48000028,BRITT RANCH UNIT,TX,ACTIVE WELL,USA,35.52631435,-100.08916264,32520,4248332520D1,650685,LE NORMAN OPERATING LLC,UNKNOWN,STILES RANCH (GRANITE WASH CONS),2008/07/03 00:00:00+00,W480491137,{D90C8FA6-E51F-4117-B57C-88165970B7AE}
29,SW48000029,CALCOTE,TX,ACTIVE WELL,USA,35.43567833,-100.1264626,32603,4248332603DW,806981,"ENERVEST OPERATING, L.L.C.",UNKNOWN,BRITT RANCH W. (GRANITE WASH A ),2016/07/26 00:00:00+00,W480491215,{0EEE12F5-C6F1-421D-BD2E-69D955D73B97}
30,SW48000030,BASIN ROYALTY,TX,ACTIVE WELL,USA,35.42861987,-100.13137438,32445,4248332445DW,768921,"ENERVEST OPERATING, L.L.C.",UNKNOWN,MILLS RANCH (GRANITE WASH CONS.),2013/12/12 00:00:00+00,W480491219,{F574A1D6-1F04-4A05-8105-527C51612CD5}
31,SW48000031,NECTAR,TX,ACTIVE WELL,USA,35.37540271,-100.05413322,31827,4248331827D2,709612,BP AMERICA PRODUCTION COMPANY,UNKNOWN,MILLS RANCH (ATOKA GRANITE WASH),2013/09/04 00:00:00+00,W480491288,{F49B0F76-7986-41F8-978F-9825641E7A64}
32,SW48000032,ATHERTON,TX,ACTIVE WELL,USA,35.43180677,-100.03933453,31652,4248331652DW,795613,"CHESAPEAKE OPERATING, INC.",UNKNOWN,NOT AVAILABLE,,W480491281,{809ACABC-10F8-417C-A7D6-258D99F2F028}
33,SW48000033,MILLS RANCH,TX,ACTIVE WELL,USA,35.2941772,-100.03783438,31076,4248331076D2,612963,ENERQUEST OPERATING L.L.C.,UNKNOWN,"FULLER (HUNTON, LO.)",2006/05/28 00:00:00+00,W480491268,{F3EB6369-3056-4BBC-881D-1EA7C51AA975}
34,SW48000034,MILLS RANCH,TX,ACTIVE WELL,USA,35.2931091,-100.03852369,31076,4248331076D1,612963,ENERQUEST OPERATING L.L.C.,UNKNOWN,"FULLER (HUNTON, LO.)",2006/05/28 00:00:00+00,W480491268,{E927D6D5-F1AF-4BB9-B7F6-652BE2261F77}
35,SW48000035,DAVIS FAMILY,TX,ACTIVE WELL,USA,35.37007845,-100.02644496,31718,4248331718DW,747456,"CHESAPEAKE OPERATING, INC.",UNKNOWN,NOT AVAILABLE,,W480491245,{DBCCC54F-7FD5-4AE3-83EA-C4CD8CEFFC18}
36,SW48000036,DAVIDSON,TX,ACTIVE WELL,USA,35.34639949,-100.03632253,30716,4248330716DW,654317,"SANGUINE GAS EXPLORATION, LLC",UNKNOWN,MILLS RANCH (GRANITE WASH CONS.),2008/08/09 00:00:00+00,W480491250,{73E161F7-4AAA-4DD2-9CD4-0FA71F33221D}
37,SW48000037,WEINHEIMER,TX,ACTIVE WELL,USA,29.25661178,-96.36646045,34760,4248134760DW,696984,"TMR EXPLORATION, INC.",UNKNOWN,ALWAN (COOK MOUNTAIN),2010/07/09 00:00:00+00,W480488669,{1D0CD9F7-DCC4-4543-ABA0-7CBEDB97A9FC}
38,SW48000038,HITE,TX,ACTIVE WELL,USA,29.31287388,-96.15078231,34342,4248134342D1,507701,HILCORP ENERGY COMPANY,UNKNOWN,"WHARTON, W. (CK MTN 11200)",,W480488655,{95CAF324-6D69-4FE2-A20E-D977FCED19EC}
39,SW48000039,HITE,TX,ACTIVE WELL,USA,29.28727952,-96.15747402,34172,4248134172D1,495085,HILCORP ENERGY COMPANY,UNKNOWN,W. D. MCMILLAN (YEGUA 9650),2000/05/31 00:00:00+00,W480488666,{E533E4A6-EC60-4A94-99A1-ED9404F2F65B}
40,SW48000040,"WILBECK, G.",TX,ACTIVE WELL,USA,29.28029839,-96.19690942,34614,4248134614D1,683918,ESPADA OPERATING LLC,UNKNOWN,NOT AVAILABLE,,W480488671,{93C8EC6C-B6C4-4A03-A61D-6BCE24C41F92}
41,SW48000041,"LOWE, HOMER",TX,ACTIVE WELL,USA,29.28627174,-96.05041596,34770,4248134770D1,602231,PETROREAL INC.,UNKNOWN,"WHARTON, S. (YEGUA 11,400)",2005/12/30 00:00:00+00,W480488628,{CC019241-7FC0-46CB-AFAE-CB938C082F19}
42,SW48000042,GUENTHER GAS UNIT,TX,ACTIVE WELL,USA,29.47164741,-96.1321585,33948,4248133948D1,522153,"TMR EXPLORATION, INC.",UNKNOWN,GUENTHER (WILCOX CONS),2004/11/02 00:00:00+00,W480488607,{E6F1BF82-AFDF-4C79-8F9D-B7B6DBAD5112}
43,SW48000043,TAYLOR,TX,ACTIVE WELL,USA,29.51933835,-96.22907107,32360,4248132360D1,720110,"LAVACA RIVER OPERATING CO., LLC",UNKNOWN,"LISSIE, S (WILCOX 9900)",2012/05/02 00:00:00+00,W480488602,{410E1546-A738-4661-93F5-39C007992EAF}
44,SW48000044,"COCKBURN, H. C.",TX,ACTIVE WELL,USA,29.14455521,-96.03631706,34970,4248134970D1,721398,WHITE OAK OPERATING COMPANY LLC,UNKNOWN,MAGNET WITHERS,2011/08/02 00:00:00+00,W480488706,{24B30A5B-DE1C-40F9-AFAA-FA21DF91BD9A}
45,SW48000045,PIERCE ESTATE A,TX,ACTIVE WELL,USA,29.22779424,-96.19105887,34950,4248134950D2,712460,"BALLARD EXPLORATION COMPANY,INC.",UNKNOWN,PIERCE (YEGUA DY-1),2014/03/27 00:00:00+00,W480488704,{65FFE411-C97D-4765-AA80-D294145B7F23}
46,SW48000046,EDWIN J. POPP GAS UNIT,TX,ACTIVE WELL,USA,29.20048071,-96.23496935,34989,4248134989D1,660213,HILCORP ENERGY COMPANY,UNKNOWN,EL CAMPO (YEGUA),2008/11/13 00:00:00+00,W480488710,{5FDE1B9A-D0A7-43EC-BCC2-2263D9D0D6D8}
47,SW48000047,"MECHURA, T. GAS UNIT",TX,ACTIVE WELL,USA,29.18622017,-96.02351017,34665,4248134665D1,756904,"HENNIG PRODUCTION CO., INC.",UNKNOWN,WILDCAT,2013/05/11 00:00:00+00,W480488701,{EA369387-4772-43DE-A032-4ACA6C5D6AF2}
48,SW48000048,J. JONES,TX,ACTIVE WELL,USA,29.24716461,-96.23300896,34632,4248134632DW,677379,HILCORP ENERGY COMPANY,UNKNOWN,RC (JACKSON),2008/08/22 00:00:00+00,W480488736,{16BA5CCC-9946-4030-8673-E1427EE9D45F}
49,SW48000049,WILBECK,TX,ACTIVE WELL,USA,29.23901912,-96.21008299,33070,4248133070D1,614413,UNITED TEXAS PETROLEUM INC.,UNKNOWN,PICKETT RIDGE (FRIO 4750),2006/01/13 00:00:00+00,W480488693,{C1DF07E8-6F7D-482C-9570-97AF90EBD946}
50,SW48000050,HITE,TX,ACTIVE WELL,USA,29.30977242,-96.15428233,34342,4248134342D2,507701,HILCORP ENERGY COMPANY,UNKNOWN,"WHARTON, W. (CK MTN 11200)",,W480488655,{DA5DCECE-07C2-41D1-99D1-FE6F8B2ED484}
51,SW48000051,OWEN 3,TX,ACTIVE WELL,USA,28.00835054,-99.55720085,40117,4247940117D1,655650,"LEWIS PETRO PROPERTIES, INC.",UNKNOWN,LAS TIENDAS (OLMOS),2008/05/30 00:00:00+00,W480487626,{741EE63D-4D76-439B-96BD-7F5EF6C9025D}
52,SW48000052,GALVAN RANCH P1,TX,ACTIVE WELL,USA,28.06523419,-99.64150135,40043,4247940043D1,651045,WAGNER OIL COMPANY,UNKNOWN,LAS TIENDAS (OLMOS),2008/03/19 00:00:00+00,W480487628,{0C99D819-8EEF-4AFB-BF09-4D3DF8A42A82}
53,SW48000053,LECHENGER,TX,ACTIVE WELL,USA,27.46865851,-99.21842359,36699,4247936699D1,475170,HILCORP ENERGY COMPANY,UNKNOWN,BENAVIDES (LOBO CONS.),1998/05/13 00:00:00+00,W480488136,{DED8358C-6AA9-41C1-B8C0-1E8C309953D9}
54,SW48000054,AUGUSTA-KENTON,TX,ACTIVE WELL,USA,27.87581695,-99.46416881,40393,4247940393D1,671514,"ESCONDIDO RESOURCES OPER CO, LLC",UNKNOWN,OWEN (OLMOS),2009/01/08 00:00:00+00,W480487634,{7DFE21BC-D287-48ED-9468-FC650B9EFF18}
55,SW48000055,BMT-CALVILLO,TX,ACTIVE WELL,USA,27.44599309,-99.16051459,37427,4247937427D1,529490,"KILLAM OIL CO., LTD.",UNKNOWN,B.M.T. (LOBO CONS.),2007/02/02 00:00:00+00,W480488173,{2B9B5719-5163-4870-B8F8-054BE5D68CE8}
56,SW48000056,GARCIA 608,TX,ACTIVE WELL,USA,27.36261199,-98.94303351,38954,4247938954D2,644540,"KILLAM OIL CO., LTD.",UNKNOWN,HUGHES (5200),2007/01/03 00:00:00+00,W480488139,{B5272586-E168-47CE-A641-F495180F3C1F}
57,SW48000057,"MARTIN, J. C. 111",TX,ACTIVE WELL,USA,27.39865203,-99.31486997,32375,4247932375D1,536014,WHITE OAK OPERATING COMPANY LLC,UNKNOWN,"DOLORES CREEK, SOUTH (LOBO 1)",2003/09/30 00:00:00+00,W480488125,{39118D96-FC06-4F2B-B147-5521B97117D9}
58,SW48000058,B.M.T.,TX,ACTIVE WELL,USA,27.36039835,-99.1627517,37133,4247937133D1,602031,HILCORP ENERGY COMPANY,UNKNOWN,B.M.T. (MIDDLE WILCOX),2005/11/17 00:00:00+00,W480488075,{80BAAD37-0AD5-42E4-A358-7B27F6446B83}
59,SW48000059,BRUNI RANCH,TX,ACTIVE WELL,USA,27.3349738,-99.26212274,37848,4247937848DW,832381,HILCORP ENERGY COMPANY,UNKNOWN,NOT AVAILABLE,,W480488019,{E642E646-CD6E-441D-913B-7306D7A04473}
60,SW48000060,"GONZALEZ, RUBEN",TX,ACTIVE WELL,USA,27.27913777,-98.94826187,34518,4247934518DW,638515,NEWFIELD EXPLORATION COMPANY,UNKNOWN,NOT AVAILABLE,,W480488037,{B3FDEC49-6B0A-49E0-BAA9-BE9D528CF596}
61,SW48000061,LAS BLANCAS,TX,ACTIVE WELL,USA,27.46462806,-99.33351447,40443,4247940443D2,693177,HILCORP ENERGY COMPANY,UNKNOWN,SCHWARZ (8700),2010/04/19 00:00:00+00,W480488061,{B197B87F-E9EB-46D2-B9E9-6F33C5E0E986}
62,SW48000062,CARR,TX,ACTIVE WELL,USA,27.68415325,-99.10843405,35744,4247935744D1,410424,HILCORP ENERGY COMPANY,UNKNOWN,VAQUILLAS RANCH (LOBO CONS.),1993/04/10 00:00:00+00,W480487778,{D1C4BA90-055A-4485-98A0-3770ECD78A4A}
63,SW48000063,LUNDELL,TX,ACTIVE WELL,USA,27.6447995,-99.05217065,39138,4247939138D1,601408,HILCORP ENERGY COMPANY,UNKNOWN,VAQUILLAS RANCH (LOBO CONS.),2005/09/15 00:00:00+00,W480487665,{567041DE-764B-4FDA-9B26-4AA14772E321}
64,SW48000064,"BENAVIDES, ROSA V. -C-",TX,ACTIVE WELL,USA,27.4783407,-98.84373383,37332,4247937332D1,507768,"BLUESTONE NATURAL RES. II, LLC",UNKNOWN,"BRUNI, NE. (1ST HINNANT)",2001/04/02 00:00:00+00,W480487817,{A3F46A5C-F07B-43DB-9F38-844AD1B9FBA5}
65,SW48000065,LUNDELL RANCH,TX,ACTIVE WELL,USA,27.60675283,-99.00335362,38095,4247938095D1,519330,"URBAN OIL & GAS GROUP, LLC",UNKNOWN,VAQUILLAS RANCH (LOBO CONS.),2002/06/08 00:00:00+00,W480487848,{92BB888A-C56D-4D2B-8469-F680D338FDCE}
66,SW48000066,K & H FEE 'B' 1569,TX,ACTIVE WELL,USA,27.48446414,-99.15234925,38107,4247938107D1,519590,"KILLAM OIL CO., LTD.",UNKNOWN,B.M.T. (LOBO CONS.),2002/07/19 00:00:00+00,W480488097,{F15ACAB7-F199-4F9E-9CFF-FC11E3D2FA9C}
67,SW48000067,ALLEY,TX,ACTIVE WELL,USA,27.59334219,-99.03829134,34142,4247934142D1,485325,HILCORP ENERGY COMPANY,UNKNOWN,VAQUILLAS RANCH (LOBO CONS.),2000/10/18 00:00:00+00,W480487859,{17987F23-22A0-4516-A32D-06C2EF703B94}
68,SW48000068,ALLEY,TX,ACTIVE WELL,USA,27.59259962,-99.05766544,34111,4247934111D1,495686,HILCORP ENERGY COMPANY,UNKNOWN,VAQUILLAS RANCH (LOBO CONS.),2016/04/16 00:00:00+00,W480487871,{5CCB8FAB-2FA5-4844-9879-355AC84CC0DA}
69,SW48000069,ALLEY,TX,ACTIVE WELL,USA,27.58906694,-99.0525119,35378,4247935378D2,-999,HILCORP ENERGY COMPANY,UNKNOWN,VAQUILLAS RANCH (LOBO CONS.),,W480487875,{E394E480-1C52-493D-9E7E-0755D39CFF80}
70,SW48000070,ALLEY,TX,ACTIVE WELL,USA,27.58636897,-99.04616472,34085,4247934085D1,488211,HILCORP ENERGY COMPANY,UNKNOWN,VAQUILLAS RANCH (LOBO CONS.),2000/02/10 00:00:00+00,W480487877,{0216E3CB-FEE3-4B44-97F0-D3F912D24662}
71,SW48000071,VERGARA 1679-W,TX,ACTIVE WELL,USA,27.58420857,-99.07165321,34163,4247934163D1,485328,HILCORP ENERGY COMPANY,UNKNOWN,VAQUILLAS RANCH (LOBO CONS.),1999/12/11 00:00:00+00,W480487879,{0D340A78-9205-4746-B86F-40C6A4120D9D}
72,SW48000072,A.G. LONG GAS UNIT,TX,ACTIVE WELL,USA,27.46081355,-98.92400192,42597,4247942597D1,771826,"BLUESTONE NATURAL RES. II, LLC",UNKNOWN,WILDCAT,2014/01/13 00:00:00+00,W480487804,{BE3CD62B-12ED-41CC-A57B-B89BC0F41D19}
73,SW48000073,VERGARA 1679,TX,ACTIVE WELL,USA,27.58252834,-99.06276375,34117,4247934117D1,494048,HILCORP ENERGY COMPANY,UNKNOWN,VAQUILLAS RANCH (LOBO CONS.),2003/08/08 00:00:00+00,W480487880,{06D495FD-D842-4E0F-BC5B-45D8ACD597AA}
74,SW48000074,VERGARA 1680,TX,ACTIVE WELL,USA,27.5769942,-99.06544265,35948,4247935948D1,-999,"EEX OPERATING, L.P.",UNKNOWN,VAQUILLAS RANCH (LOBO CONS.),,W480487887,{B127C134-57EE-4C61-B888-C8CE4220DEDB}
75,SW48000075,VERGARA 1680,TX,ACTIVE WELL,USA,27.57017127,-99.06126075,33625,4247933625D1,518952,"EEX OPERATING, L.P.",UNKNOWN,NOT AVAILABLE,,W480487890,{B3ED355C-2708-4FBE-819F-617924FC91F5}
76,SW48000076,"STATE RUNNING ""W"" 598",TX,ACTIVE WELL,USA,27.43081654,-99.06752628,39641,4247939641D1,625400,HILCORP ENERGY COMPANY,UNKNOWN,B.M.T. (LOBO CONS.),2008/03/15 00:00:00+00,W480488008,{F36EEDEA-BCEA-487F-83E2-1D0906F5A2D4}
77,SW48000077,"MARSHALL, STANLEY G.",TX,ACTIVE WELL,USA,27.42332552,-98.92431727,37448,4247937448DW,718035,"BLUESTONE NATURAL RES. II, LLC",UNKNOWN,"BRUNI, NE. (1ST HINNANT)",2011/05/14 00:00:00+00,W480488057,{07053DBD-6A38-4A6C-A1E6-025D6A0BE9CD}
78,SW48000078,WILKENING,TX,ACTIVE WELL,USA,30.28651925,-96.58993783,30458,4247730458D3,518131,"ENERVEST OPERATING, L.L.C.",UNKNOWN,"GIDDINGS (AUSTIN CHALK, GAS)",2002/07/06 00:00:00+00,W480488450,{8F144477-4FE4-47AC-BAC1-6CF8BE2153EE}
79,SW48000079,WILKENING,TX,ACTIVE WELL,USA,30.27798824,-96.59161393,30458,4247730458H1,518131,"ENERVEST OPERATING, L.L.C.",UNKNOWN,"GIDDINGS (AUSTIN CHALK, GAS)",2002/07/06 00:00:00+00,W480488450,{08BB7BFC-602A-4A10-A698-D295D23AA72E}
80,SW48000080,BERNICE MUELLER UNIT,TX,ACTIVE WELL,USA,30.15110295,-96.71486362,30439,4247730439DW,270349,HECI EXPLORATION COMPANY,UNKNOWN,NOT AVAILABLE,,W480488422,{BA34F003-3293-4FC1-85F1-813D672AB103}
81,SW48000081,EAST VERMEJO,TX,ACTIVE WELL,USA,31.64417561,-103.49886055,32157,4247532157D1,486202,"JAY MANAGEMENT COMPANY, LLC",UNKNOWN,"VERMEJO, E. (ATOKA)",2000/01/28 00:00:00+00,W480490063,{9785F258-E0CD-4E49-90E9-6CBF64659D24}
82,SW48000082,U.S. NATIONAL,TX,ACTIVE WELL,USA,31.53506564,-103.483529,11002,4247511002D1,-999,"DEVON ENERGY PRODUCTION CO, L.P.",UNKNOWN,MI VIDA (FUSSELMAN),1969/01/04 00:00:00+00,W480490119,{E1E59A63-F484-479B-ABD1-D90B69C5F220}
83,SW48000083,ADOBE,TX,ACTIVE WELL,USA,31.44463315,-103.44920118,36286,4247536286D1,750609,OXY USA INC.,UNKNOWN,COLLIE (DELAWARE),2013/05/20 00:00:00+00,W480490206,{A9412220-38F8-4ADF-935B-FBADD50A5B6C}
84,SW48000084,"CHINA LAKE ""205""",TX,ACTIVE WELL,USA,31.49829846,-103.41883536,34390,4247534390D1,512405,PLATINUM EXPLORATION INC.,UNKNOWN,BURKHOLDER (FUSSELMAN),2001/02/15 00:00:00+00,W480490179,{78C16142-3F1E-46B0-9495-6900811200E5}
85,SW48000085,"WATSON, L. A.",TX,ACTIVE WELL,USA,31.47228211,-103.07387001,34615,4247534615D1,538139,MOBIL PRODUCING TX. & N.M. INC.,UNKNOWN,NOT AVAILABLE,,W480490175,{64936A2D-650A-456A-BE2A-CAE292CCD15F}
86,SW48000086,"WATSON, L A",TX,ACTIVE WELL,USA,31.4687042,-103.07744297,34707,4247534707D1,538140,XTO ENERGY INC.,UNKNOWN,BLOCK 16 (DEVONIAN),2003/12/16 00:00:00+00,W480490176,{B50BC68B-F3A7-4075-92FB-24804BF4E6EE}
87,SW48000087,"WATSON, L A",TX,ACTIVE WELL,USA,31.46568025,-103.06730602,34707,4247534707H1,538140,XTO ENERGY INC.,UNKNOWN,BLOCK 16 (DEVONIAN),2003/12/16 00:00:00+00,W480490176,{629EEC38-42B2-4041-8712-5061A6379837}
88,SW48000088,CAMPBELL ESTATE ETAL,TX,ACTIVE WELL,USA,31.44382721,-103.0180661,34731,4247534731D1,530877,XTO ENERGY INC.,UNKNOWN,BLOCK 16 (DEVONIAN),2004/11/12 00:00:00+00,W480490180,{7FFCC0B9-5A16-46ED-BB55-B179FB2FF8FF}
89,SW48000089,RANCHO CALI,TX,ACTIVE WELL,USA,29.75530341,-96.01919327,31190,4247331190D1,683760,"RANCH EXPLORATION VENTURES, LLC",UNKNOWN,NOT AVAILABLE,,W480488400,{F35AB12F-5F47-4527-9416-66B0ED191361}
90,SW48000090,FRIETSCH,TX,ACTIVE WELL,USA,29.76391638,-96.00103924,31273,4247331273D2,819807,TRIANGLE THREE RESOURCES L.L.C.,UNKNOWN,NOT AVAILABLE,,W480488370,{0F63961D-DC4F-4296-9A1D-7698A5C69EE5}
91,SW48000091,NORMA,TX,ACTIVE WELL,USA,30.84150327,-95.35579919,30398,4247130398D1,833807,"SMALL, R.P. CORP.",UNKNOWN,NOT AVAILABLE,,W480490054,{C5F6DE75-F121-4056-ABCD-99236A9346B0}
92,SW48000092,NELSON ROBERTS UNIT,TX,ACTIVE WELL,USA,28.90098795,-96.81326859,32720,4246932720D1,611773,"TRANS-PECOS RESOURCES, INC.",UNKNOWN,NOT AVAILABLE,,W480488486,{005F93CA-FAAE-4ABA-88B6-F63F94F571F1}
