OBJECTID,ID,NAME,STATE,STATUS,COUNTRY,LATITUDE,LONGITUDE,WELLIDNO,API,PERMITNO,OPERATOR,PRODTYPE,FIELD,COMPDATE,ID_LINK,GlobalID
594,SW48000594,MCALLEN FIELDWIDE UNIT,TX,ACTIVE WELL,USA,26.19257048,-98.19996297,33865,4221533865D2,751576,OXY USA INC.,UNKNOWN,NOT AVAILABLE,,W480482435,{18156302-D1F0-45AC-A70A-74BDEC8D6606}
595,SW48000595,"VAN SCHERPE GAS UNIT ""B""",TX,ACTIVE WELL,USA,26.40378226,-98.48774001,32619,4221532619D1,531554,EL PASO PRODUCTION OIL & GAS CO.,UNKNOWN,NOT AVAILABLE,,W480482261,{DE53B6F7-DAE2-4B9D-9FA5-0222D3E4F38C}
596,SW48000596,"MCALLEN, A. A. ""SLOT""",TX,ACTIVE WELL,USA,26.59320565,-98.244118,31219,4221531219D1,521364,MERIT ENERGY COMPANY,UNKNOWN,"MCALLEN RANCH (VKSBG P-V,S CONS)",,W480481998,{4DCFADFF-5868-4F38-B9D7-29964B19B345}
597,SW48000597,"TURNER, EVELYN",TX,ACTIVE WELL,USA,26.48525459,-98.26903605,32919,4221532919DW,609606,MERIT ENERGY COMPANY,UNKNOWN,"MONTE CHRISTO, N(VICKSBURG T LO)",,W480482319,{B0376A2C-007E-4B4A-9BB8-6097290F1A06}
598,SW48000598,STALKER GAS UNIT,TX,ACTIVE WELL,USA,26.48231665,-98.28763888,32987,4221532987DW,640824,MERIT ENERGY COMPANY,UNKNOWN,"MONTE CHRISTO (58,59 CONS.)",,W480482325,{C57497F4-A7A4-4636-861F-37A919660D06}
599,SW48000599,"GUERRA, E. E.",TX,ACTIVE WELL,USA,26.5847589,-98.20664287,32058,4221532058D1,396080,DEWBRE PETROLEUM CORPORATION,UNKNOWN,MCALLEN RANCH (GUERRA),,W480482023,{E5E6B429-CC5D-4797-A8A4-9BE88808B8F1}
600,SW48000600,STALKER GAS UNIT,TX,ACTIVE WELL,USA,26.4749886,-98.28662337,32916,4221532916DW,797106,MERIT ENERGY COMPANY,UNKNOWN,"MONTE CHRISTO (58,59 CONS.)",,W480482346,{93D23694-0D04-42B7-8CA6-B0A32727168D}
601,SW48000601,STALKER,TX,ACTIVE WELL,USA,26.47457072,-98.28371149,33023,4221533023DW,607013,EL PASO PRODUCTION OIL & GAS CO.,UNKNOWN,NOT AVAILABLE,,W480482378,{43DAAC00-3A98-451C-99AC-303BBFB82393}
602,SW48000602,"GUERRA, A. E.",TX,ACTIVE WELL,USA,26.5815167,-98.21720587,32426,4221532426D1,714308,HILCORP ENERGY COMPANY,UNKNOWN,"SANTELLANA, SOUTH (FRIO, VKSBG)",,W480482026,{471BE22B-DA1C-42D9-9B34-24E655D47D79}
603,SW48000603,HAMMAN RANCH,TX,ACTIVE WELL,USA,26.47441668,-98.31120007,32847,4221532847D1,807392,"CANTERA OPERATING, LLC",UNKNOWN,NOT AVAILABLE,,W480482380,{3459661B-0A05-4E28-A93B-EC69BE8E9EC0}
